Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1
Time (s)	Light Intensity (%)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0,000	3,0						
0,100	3,0	0,000			0,0000		
0,200	3,0	0,000	0,000		0,0000	0,000	
0,300	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,800	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
0,900	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,000	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,100	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,200	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,300	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,400	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,500	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,600	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,700	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,800	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
1,900	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,000	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,100	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,200	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,300	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,400	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,500	3,0	0,000	0,000	0,000	0,0000	0,000	0,000
2,600	3,0	0,000	0,000	0,039	0,0000	0,000	9,375E-4
2,700	3,0	0,000	0,008	0,118	0,0000	1,875E-4	0,003
2,800	3,0	0,002	0,024	0,039	3,7500E-5	5,625E-4	9,375E-4
2,900	3,0	0,005	0,016	-0,079	1,1250E-4	3,750E-4	-0,002
3,000	3,0	0,005	0,008	-1,735E-16	1,1250E-4	1,875E-4	-4,879E-18
3,100	3,1	0,006	0,016	0,039	1,5000E-4	3,750E-4	9,375E-4
3,200	3,0	0,008	0,016	-0,039	1,8750E-4	3,750E-4	-9,375E-4
3,300	3,0	0,009	0,008	-0,039	2,2500E-4	1,875E-4	-9,375E-4
3,400	3,1	0,009	0,008	0,079	2,2500E-4	1,875E-4	0,002
3,500	3,1	0,011	0,024	0,079	2,6250E-4	5,625E-4	0,002
3,600	3,1	0,014	0,024	-0,039	3,3750E-4	5,625E-4	-9,375E-4
3,700	3,1	0,016	0,016	0,000	3,7500E-4	3,750E-4	0,000
3,800	3,1	0,017	0,024	0,039	4,1250E-4	5,625E-4	9,375E-4
3,900	3,1	0,020	0,024	0,000	4,8750E-4	5,625E-4	1,626E-18
4,000	3,1	0,022	0,024	-2,602E-16	5,2500E-4	5,625E-4	-7,589E-18
4,100	3,0	0,025	0,024	5,204E-16	6,0000E-4	5,625E-4	1,084E-17
4,200	3,0	0,027	0,024	8,674E-17	6,3750E-4	5,625E-4	0,000
4,300	2,9	0,030	0,024	-0,039	7,1250E-4	5,625E-4	-9,375E-4
4,400	2,9	0,031	0,016	-0,079	7,5000E-4	3,750E-4	-0,002
4,500	2,9	0,033	0,008	-0,079	7,8750E-4	1,875E-4	-0,002
4,600	2,9	0,033	0,000	0,000	7,8750E-4	0,000	0,000
4,700	2,9	0,033	0,008	0,157	7,8750E-4	1,875E-4	0,004
4,800	2,9	0,035	0,031	0,275	8,2500E-4	7,500E-4	0,007
4,900	2,7	0,039	0,063	0,157	9,3750E-4	0,002	0,004
5,000	2,7	0,047	0,063	-0,079	0,0011	0,001	-0,002
5,100	2,7	0,052	0,047	-0,079	0,0012	0,001	-0,002
5,200	2,7	0,057	0,047	-0,039	0,0013	0,001	-9,375E-4
5,300	2,5	0,061	0,039	-0,079	0,0015	9,375E-4	-0,002
5,400	2,5	0,064	0,031	-3,469E-16	0,0015	7,500E-4	0,000
5,500	2,5	0,068	0,039	0,039	0,0016	9,375E-4	9,375E-4
5,600	2,3	0,072	0,039	0,000	0,0017	9,375E-4	0,000
5,700	2,3	0,075	0,039	-0,039	0,0018	9,375E-4	-9,375E-4
5,800	2,2	0,080	0,031	-0,079	0,0019	7,500E-4	-0,002
5,900	2,2	0,082	0,024	-0,039	0,0019	5,625E-4	-9,375E-4
6,000	2,1	0,085	0,024	0,039	0,0020	5,625E-4	9,375E-4
6,100	2,1	0,086	0,031	0,118	0,0021	7,500E-4	0,003
6,200	2,2	0,091	0,047	0,079	0,0022	0,001	0,002
6,300	3,0	0,096	0,047	1,041E-15	0,0023	0,001	2,494E-17
6,400	4,8	0,101	0,047	-0,039	0,0024	0,001	-9,375E-4
6,500	6,7	0,105	0,039	-0,079	0,0025	9,375E-4	-0,002
6,600	8,7	0,108	0,031	-0,039	0,0026	7,500E-4	-9,375E-4
6,700	10,7	0,112	0,031	-0,039	0,0027	7,500E-4	-9,375E-4
6,800	12,5	0,115	0,024	-0,079	0,0027	5,625E-4	-0,002
6,900	14,8	0,116	0,016	0,039	0,0028	3,750E-4	9,375E-4
7,000	18,6	0,118	0,031	0,157	0,0028	7,500E-4	0,004
7,100	22,3	0,123	0,047	0,039	0,0029	0,001	9,375E-4
7,200	24,6	0,127	0,039	-0,079	0,0030	9,375E-4	-0,002
7,300	26,3	0,130	0,031	-0,079	0,0031	7,500E-4	-0,002
7,400	27,3	0,134	0,024	-0,079	0,0032	5,625E-4	-0,002
7,500	28,2	0,135	0,016	-5,204E-16	0,0032	3,750E-4	-1,247E-17
7,600	29,5	0,137	0,024	0,118	0,0033	5,625E-4	0,003
7,700	30,5	0,140	0,039	0,118	0,0033	9,375E-4	0,003
7,800	31,1	0,145	0,047	8,674E-16	0,0035	0,001	2,114E-17
7,900	31,3	0,149	0,039	-0,079	0,0036	9,375E-4	-0,002
8,000	31,4	0,152	0,031	-0,079	0,0036	7,500E-4	-0,002
8,100	31,6	0,156	0,024	-0,039	0,0037	5,625E-4	-9,375E-4
8,200	31,7	0,157	0,024	1,041E-15	0,0038	5,625E-4	2,494E-17
8,300	31,7	0,160	0,024	1,041E-15	0,0038	5,625E-4	2,494E-17
8,400	31,6	0,162	0,024	0,079	0,0039	5,625E-4	0,002
8,500	31,2	0,165	0,039	0,079	0,0039	9,375E-4	0,002
8,600	31,0	0,170	0,039	-0,039	0,0041	9,375E-4	-9,375E-4
8,700	30,7	0,173	0,031	-0,039	0,0041	7,500E-4	-9,375E-4
8,800	30,6	0,176	0,031	1,388E-15	0,0042	7,500E-4	3,361E-17
8,900	30,4	0,179	0,031	-0,039	0,0043	7,500E-4	-9,375E-4
9,000	30,2	0,182	0,024	-0,079	0,0044	5,625E-4	-0,002
9,100	30,2	0,184	0,016	-0,039	0,0044	3,750E-4	-9,375E-4
9,200	30,1	0,185	0,016	-0,039	0,0044	3,750E-4	-9,375E-4
