Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1
Time (s)	Light Intensity (%)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0,000	17,9						
0,100	17,9	0,000			0,0000		
0,200	17,9	0,000	0,000		0,0000	0,000	
0,300	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,800	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
0,900	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,000	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,100	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,200	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,300	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,400	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,500	17,9	0,000	0,000	0,000	0,0000	0,000	0,000
1,600	17,9	0,000	0,000	0,039	0,0000	0,000	9,375E-4
1,700	17,9	0,000	0,008	0,039	0,0000	1,875E-4	9,375E-4
1,800	17,8	0,002	0,008	-0,039	3,7500E-5	1,875E-4	-9,375E-4
1,900	17,7	0,002	0,000	0,000	3,7500E-5	0,000	0,000
2,000	17,8	0,002	0,008	0,079	3,7500E-5	1,875E-4	0,002
2,100	17,8	0,003	0,016	-4,337E-17	7,5000E-5	3,750E-4	-9,487E-19
2,200	17,8	0,005	0,008	-0,039	1,1250E-4	1,875E-4	-9,375E-4
2,300	17,9	0,005	0,008	0,039	1,1250E-4	1,875E-4	9,375E-4
2,400	17,9	0,006	0,016	6,939E-17	1,5000E-4	3,750E-4	2,033E-18
2,500	17,9	0,008	0,008	-0,039	1,8750E-4	1,875E-4	-9,375E-4
2,600	17,9	0,008	0,008	0,039	1,8750E-4	1,875E-4	9,375E-4
2,700	17,9	0,009	0,016	0,039	2,2500E-4	3,750E-4	9,375E-4
2,800	18,0	0,011	0,016	1,735E-16	2,6250E-4	3,750E-4	3,524E-18
2,900	18,1	0,013	0,016	1,388E-16	3,0000E-4	3,750E-4	3,524E-18
3,000	18,1	0,014	0,016	-2,602E-16	3,3750E-4	3,750E-4	-4,066E-18
3,100	18,0	0,016	0,016	-2,255E-16	3,7500E-4	3,750E-4	-4,066E-18
3,200	18,1	0,017	0,016	0,000	4,1250E-4	3,750E-4	0,000
3,300	18,0	0,019	0,016	1,735E-16	4,5000E-4	3,750E-4	5,421E-18
3,400	17,9	0,020	0,016	1,735E-16	4,8750E-4	3,750E-4	5,421E-18
3,500	17,9	0,022	0,016	-0,039	5,2500E-4	3,750E-4	-9,375E-4
3,600	18,0	0,024	0,008	-0,039	5,6250E-4	1,875E-4	-9,375E-4
3,700	17,8	0,024	0,008	0,039	5,6250E-4	1,875E-4	9,375E-4
3,800	17,7	0,025	0,016	8,674E-17	6,0000E-4	3,750E-4	2,033E-18
3,900	17,7	0,027	0,008	-0,039	6,3750E-4	1,875E-4	-9,375E-4
4,000	17,5	0,027	0,008	0,039	6,3750E-4	1,875E-4	9,375E-4
4,100	17,3	0,028	0,016	1,735E-16	6,7500E-4	3,750E-4	4,201E-18
4,200	17,2	0,030	0,008	-0,039	7,1250E-4	1,875E-4	-9,375E-4
4,300	17,0	0,030	0,008	0,039	7,1250E-4	1,875E-4	9,375E-4
4,400	16,7	0,031	0,016	0,039	7,5000E-4	3,750E-4	9,375E-4
4,500	16,7	0,033	0,016	0,000	7,8750E-4	3,750E-4	0,000
4,600	16,7	0,035	0,016	-0,039	8,2500E-4	3,750E-4	-9,375E-4
4,700	16,7	0,036	0,008	-0,039	8,6250E-4	1,875E-4	-9,375E-4
4,800	16,5	0,036	0,008	1,735E-16	8,6250E-4	1,875E-4	4,201E-18
4,900	16,6	0,038	0,008	-0,039	9,0000E-4	1,875E-4	-9,375E-4
5,000	16,5	0,038	0,000	-0,039	9,0000E-4	0,000	-9,375E-4
5,100	16,5	0,038	0,000	0,000	9,0000E-4	0,000	0,000
5,200	16,5	0,038	0,000	0,039	9,0000E-4	0,000	9,375E-4
5,300	16,4	0,038	0,008	0,079	9,0000E-4	1,875E-4	0,002
5,400	16,3	0,039	0,016	0,000	9,3750E-4	3,750E-4	0,000
5,500	16,1	0,041	0,008	-0,039	9,7500E-4	1,875E-4	-9,375E-4
5,600	16,0	0,041	0,008	0,000	9,7500E-4	1,875E-4	2,711E-18
5,700	16,0	0,042	0,008	0,000	0,0010	1,875E-4	-2,711E-18
5,800	15,8	0,042	0,008	0,039	0,0010	1,875E-4	9,375E-4
5,900	15,9	0,044	0,016	0,039	0,0010	3,750E-4	9,375E-4
