Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1
Time (s)	Light Intensity (%)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0,000	3,7						
0,100	3,7	0,000			0,0000		
0,200	3,7	0,000	0,000		0,0000	0,000	
0,300	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
0,800	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
0,900	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,000	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,100	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,200	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,300	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,400	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,500	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
1,600	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,700	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
1,800	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
1,900	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
2,000	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,100	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,200	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,300	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,400	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,500	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
2,600	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,700	3,6	0,000	0,000	0,000	0,0000	0,000	0,000
2,800	3,7	0,000	0,000	0,000	0,0000	0,000	0,000
2,900	3,7	0,000	0,000	0,039	0,0000	0,000	9,375E-4
3,000	3,7	0,000	0,008	0,079	0,0000	1,875E-4	0,002
3,100	3,7	0,002	0,016	0,079	3,7500E-5	3,750E-4	0,002
3,200	3,7	0,003	0,024	0,039	7,5000E-5	5,625E-4	9,375E-4
3,300	3,7	0,006	0,024	-0,039	1,5000E-4	5,625E-4	-9,375E-4
3,400	3,7	0,008	0,016	-0,039	1,8750E-4	3,750E-4	-9,375E-4
3,500	3,7	0,009	0,016	-1,561E-16	2,2500E-4	3,750E-4	-3,524E-18
3,600	3,7	0,011	0,016	-1,735E-16	2,6250E-4	3,750E-4	-4,879E-18
3,700	3,8	0,013	0,016	0,079	3,0000E-4	3,750E-4	0,002
3,800	3,7	0,014	0,031	0,118	3,3750E-4	7,500E-4	0,003
3,900	3,7	0,019	0,039	-0,039	4,5000E-4	9,375E-4	-9,375E-4
4,000	3,8	0,022	0,024	-0,079	5,2500E-4	5,625E-4	-0,002
4,100	3,7	0,024	0,024	0,039	5,6250E-4	5,625E-4	9,375E-4
4,200	3,6	0,027	0,031	0,039	6,3750E-4	7,500E-4	9,375E-4
4,300	3,6	0,030	0,031	-8,674E-16	7,1250E-4	7,500E-4	-1,681E-17
4,400	3,5	0,033	0,031	-6,939E-17	7,8750E-4	7,500E-4	0,000
4,500	3,5	0,036	0,031	-0,039	8,6250E-4	7,500E-4	-9,375E-4
4,600	3,4	0,039	0,024	-0,079	9,3750E-4	5,625E-4	-0,002
4,700	3,4	0,041	0,016	-0,039	9,7500E-4	3,750E-4	-9,375E-4
4,800	3,3	0,042	0,016	0,039	0,0010	3,750E-4	9,375E-4
4,900	3,3	0,044	0,024	0,039	0,0010	5,625E-4	9,375E-4
5,000	3,3	0,047	0,024	-5,204E-16	0,0011	5,625E-4	-1,247E-17
5,100	3,3	0,049	0,024	0,079	0,0012	5,625E-4	0,002
5,200	3,2	0,052	0,039	0,079	0,0012	9,375E-4	0,002
5,300	3,2	0,057	0,039	-0,039	0,0013	9,375E-4	-9,375E-4
5,400	3,2	0,060	0,031	-0,079	0,0014	7,500E-4	-0,002
5,500	3,2	0,063	0,024	-0,039	0,0015	5,625E-4	-9,375E-4
5,600	3,1	0,064	0,024	0,039	0,0015	5,625E-4	9,375E-4
5,700	3,0	0,068	0,031	0,000	0,0016	7,500E-4	0,000
5,800	3,0	0,071	0,024	-0,039	0,0017	5,625E-4	-9,375E-4
5,900	2,9	0,072	0,024	0,000	0,0017	5,625E-4	0,000
6,000	2,9	0,075	0,024	-5,204E-16	0,0018	5,625E-4	-1,247E-17
6,100	2,8	0,077	0,024	-0,039	0,0018	5,625E-4	-9,375E-4
6,200	2,8	0,080	0,016	-0,079	0,0019	3,750E-4	-0,002
6,300	2,8	0,080	0,008	3,469E-16	0,0019	1,875E-4	8,403E-18
6,400	2,7	0,082	0,016	0,079	0,0019	3,750E-4	0,002
6,500	2,7	0,083	0,024	0,079	0,0020	5,625E-4	0,002
6,600	2,7	0,086	0,031	0,039	0,0021	7,500E-4	9,375E-4
6,700	2,7	0,090	0,031	-0,039	0,0021	7,500E-4	-9,375E-4
6,800	2,8	0,093	0,024	-0,039	0,0022	5,625E-4	-9,375E-4
6,900	2,9	0,094	0,024	0,000	0,0022	5,625E-4	0,000
7,000	3,3	0,097	0,024	-0,039	0,0023	5,625E-4	-9,375E-4
7,100	3,7	0,099	0,016	-0,039	0,0024	3,750E-4	-9,375E-4
